id,name-en,name-zh,quality,category,acquisition
1,"奇异的「牙齿」
","奇异的「牙齿」
",1,"素材
","龙脊雪山
"
2,"鳅鳅宝玉
","鳅鳅宝玉
",1,"素材
","野外采集推荐：荻花洲采集（帮助：采集视频）
"
3,"魔晶块
","魔晶块
",1,"锻造用矿石
","野外采集（需要冒险等级达到30级且对应城市声望达到2级）对话蒙德和璃月的铁匠可得知刷新地点。（每天6点时刷新。在蒙德刷新6个点位，璃月刷新10个点位。）
"
4,"汲取了生命力的龙牙
","汲取了生命力的龙牙
",1,"素材
","由奇异的「牙齿」在眠龙谷下方核心处汲取生命力获得（4个转化为4个）
"
5,"须弥蔷薇
","须弥蔷薇
",1,"食材
","野外采集
"
6,"霓裳花
","霓裳花
",1,"璃月区域特产
","野外采集璃月港玉京台附近采集望舒客栈附近采集推荐：璃月港采集轻策庄磨坊主小白处购买（1000摩拉每个，三天刷新一次，限购五个）奥摩斯港商人秋蔚处购买（1000摩拉每个，三天刷新一次，限购五个）(采集帮助：采集视频)望舒客栈菲尔戈黛特处购买（1000摩拉每个，三天刷新一次，限购五个）
"
7,"「霓裳花」的种子
","「霓裳花」的种子
",1,"种子
","装备化种匣后采取霓裳花
"
8,"星蕈
","星蕈
",1,"食材
","野外采集须弥城兰巴德酒馆购买（每三天10个）阿如村商人阿扎莱处购买（每三天10个）
"
9,"毗波耶
","毗波耶
",1,"素材
","野外采集桓那兰那采集
"
10,"蜥蜴尾巴
","蜥蜴尾巴
",1,"素材
","野外采集捕捉蜥蜴采集(采集帮助:采集视频)
"
11,"「琉璃袋」的种子
","「琉璃袋」的种子
",1,"种子
","装备化种匣后采取琉璃袋
"
12,"牛奶
","牛奶
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买望泷村每周限购10个须弥杂货店购买
"
13,"紫晶块
","紫晶块
",1,"锻造用矿石
","（帮助：采集视频）野外采集推荐：鸣神岛采集
"
14,"神秘的肉加工产物
","神秘的肉加工产物
",1,"食材
","烹饪加工获得
"
15,"鸟蛋
","鸟蛋
",1,"食材
","野外采集清泉镇猎人首领杜拉夫（仅在游戏内6:00-19:00运营）处购买，200摩拉，每日限购5个，每天刷新一次化城郭阿什帕齐处购买，200摩拉，每日限购10个，每天刷新一次
"
16,"小灯草
","小灯草
",1,"蒙德区域特产
","野外采集(采集帮助：采集视频)推荐：奔狼领采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）遁玉陵和灵矩关之间七天神像附近与紫薇对话领取4个小灯草夜间野外寻找推荐：低语森林采集
"
17,"活化的星蕈
","活化的星蕈
",1,"食材
","野外采集
"
18,"烈焰花花蕊
","烈焰花花蕊
",1,"素材
","野外采集推荐：千风神殿采集（帮助：采集视频）璃月港不卜庐购买（每三天5个）
"
19,"「塞西莉亚花」的种子
","「塞西莉亚花」的种子
",1,"种子
","装备化种匣后采取塞西莉亚花
"
20,"史莱姆凝液
","史莱姆凝液
",1,"角色与武器培养素材
","普通怪物掉落史莱姆掉落
"
21,"破损的面具
","破损的面具
",1,"角色与武器培养素材
","普通怪物掉落丘丘人掉落射手类丘丘人少量掉落丘丘萨满少量掉落大体格丘丘人少量掉落
"
